class,b,c,d,e,f,g,h,i,k,k,l,m,n,o,p
1,73,2,5.63,18896,0.001775026,8.18444824,8.79971003,14.09861163,-8.667401261,20.38043089,11.83034158,36.32671736,0.17550833,2.591471092,262.9196352
1,73,2,5.77,18896,0.002717606,9.749009052,1.257075656,14.35515635,-8.434449879,27.03109677,24.10666442,42.8973296,0.075259923,2.726788018,208.1541047
1,73,2,5.67,18896,0.002193376,7.320374177,2.13113116,14.39038455,-10.31029229,21.97795803,23.28700426,32.70830876,0.092230797,3.097040084,226.3096691
1,73,2,5.51,19041,0.001811722,0.871443273,4.077961877,31.14548263,-11.16471894,56.90479236,-4.801969542,34.84147684,0.117937477,5.543223776,126.3424169
1,73,2,5.49,19041,0.002043883,4.759642493,15.14307014,27.50545772,-13.18594797,46.98806921,-7.247114522,31.91763967,0.084732359,5.375633624,134.9482746
1,73,2,6.01,19041,0.002216938,5.409561249,11.35894229,23.96498512,-13.0631027,34.74237185,-2.435820983,22.57124328,0.147005296,4.443849993,148.7831393
1,73,2,5.01,19100,0.001718325,14.36142795,17.32363101,24.26812803,-24.30800455,55.09232714,3.928641104,39.15316451,0.111129572,3.633646535,190.7581066
1,73,2,6.02,19100,0.001719168,17.64695906,24.99404218,20.32259611,-26.23515968,44.34215573,3.899737792,26.29687567,0.10998094,3.034337755,209.3169281
1,73,2,5.69,19101,0.001687666,9.816562137,16.75101128,33.39607545,-22.81692634,55.12457757,14.89673372,39.03087474,0.195785669,3.825576068,187.7935725
1,73,2,5.97,19234,0.002698005,4.296776375,0.866524918,29.79909635,-6.82006425,47.31565784,6.420135582,65.54055392,0.157789537,4.037483344,271.1856272
1,73,2,5.71,19234,0.002495383,3.464013752,4.983246242,38.48401917,-5.026568996,57.81492852,-11.95596974,65.73604335,0.099412941,4.485063087,285.3169212
1,73,2,5.79,19410,0.002342591,5.839340476,15.68423706,30.57370398,-14.9124305,48.49322622,-2.621906104,46.19825587,0.307920395,3.623888509,270.5548602
1,73,2,5.79,19410,0.002800795,9.692413805,13.31410495,23.96525619,-6.471850519,42.85951656,-2.44793921,46.76137711,0.154003021,6.404024736,199.9304108
1,73,2,5.834399093,19479,0.003625529,7.248229021,1.851577676,37.67013511,-16.73072052,56.92666655,-21.46133025,16.73150747,0.159642638,3.941773551,175.4861428
1,73,2,5.85,19492,0.002420108,15.69563177,14.0081146,14.3454112,-7.122899479,26.03491529,-4.314655975,31.10456712,0.128304487,4.894784723,218.2013085
1,73,2,5.55,19545,0.002348352,15.90629575,8.752931452,20.82704146,-13.28057603,51.5572224,-16.29411445,22.6108236,0.162695495,6.427578105,325.9392871
1,73,2,5.67,19546,0.003295853,18.27531904,11.44632354,16.21719967,-16.92982446,31.75313352,-15.1491125,22.93442201,0.095099094,5.297059658,307.8419796
1,73,2,5.85,19546,0.002404271,19.99402801,11.55659686,21.75738146,-12.91949529,46.31602623,-10.69250599,21.00748243,0.117582951,6.807007308,298.809084
1,73,2,5.73,19616,0.002606378,8.741546304,12.67821248,22.48918964,-8.926763928,35.06219412,1.078719749,37.32622203,0.208320259,6.41396495,164.4019178
1,73,2,5.73,19616,0.001866322,7.197189127,15.50776848,24.2091191,-11.30023778,38.89105743,-4.343409753,34.30511319,0.154189366,5.747865129,221.201668
1,73,2,5.83,19616,0.003035535,6.999724043,14.46693948,25.90660019,-14.30585003,35.57461564,-4.984535975,44.11205105,0.245720851,5.24038116,309.113643
1,73,2,4.51,19791,0.00185842,13.35492005,40.11612793,12.09803378,-11.02183172,17.84355987,11.02471962,44.26867752,0.274868358,4.030857853,235.1568805
1,73,2,5.71,19791,0.002111291,4.987369812,18.64660647,26.06757586,-11.0563279,54.73060887,6.0525137,48.77449826,0.249211299,4.697868007,358.9012341
1,73,2,5.73,19791,0.002230614,12.53232571,16.05664513,19.20038623,-10.25640482,35.6324898,6.209433908,59.28337653,0.282635117,3.096172563,402.1247356
1,73,2,5.09,19851,0.001549961,3.458448188,14.24599118,22.15269673,-7.457303596,33.22185397,-10.60616594,40.31202209,0.281319899,4.216637385,193.3221334
1,73,2,5.59,19989,0.002042334,14.60673801,0.481396712,38.10246205,-6.938861302,61.87379301,3.383746814,34.0233426,0.138101528,3.448992298,183.3011062
1,73,2,5.61,19990,0.002110096,1.78321086,7.938587748,31.0576267,-7.488047264,72.91166823,-5.372302098,23.44528852,0.197899307,4.984288988,188.3203921
1,73,2,5.85,19990,0.001545885,13.37763279,14.83243402,22.39745511,-5.76026707,36.87828796,-5.570662941,27.63960658,0.158407412,3.300454033,193.403746
0,81,2,5.7,20313,0.002920679,5.673647494,16.28463639,7.023904522,-17.07866985,29.61282366,41.9165126,53.49888231,0.185555985,6.652758732,227.6654447
0,81,2,5.96,20313,0.003151763,5.912404231,23.5342992,6.373108604,-17.03977768,17.76594851,30.53586327,44.00409358,0.148822305,6.02899403,216.815956
0,81,2,5.98,20313,0.003101005,8.226716678,24.37081654,9.363996846,-16.40033528,26.76196047,24.26921827,46.65048211,0.164131231,5.337346121,208.0472673
0,81,2,5.94,20313,0.003679637,4.108915435,24.34154546,8.589658927,-16.19356106,23.96168746,29.89803419,42.89898866,0.093155518,5.18966525,181.1283635
0,81,2,6.01,20446,0.002184698,3.387537581,21.04573958,15.39262791,-7.546850748,31.16515845,33.78850233,36.06561585,0.15483193,6.453141806,260.132288
0,81,2,5.99,20446,0.002336276,-1.03329603,24.98927737,16.38531359,-8.178413974,26.82661156,24.46500667,29.16972695,0.176174623,6.755191479,245.2285265
0,81,2,5.51,20446,0.002033786,5.515723729,5.786093261,18.97060443,-5.70809277,29.25497168,22.06973287,30.67967103,0.177188261,6.199031838,246.6563276
1,81,2,5.99,18793,0.004246703,11.46396953,6.042765745,9.047051879,-10.43957679,17.08015264,15.08422476,9.140026633,0.588179542,4.631955475,245.7760781
1,81,2,6.01,18794,0.003534128,14.1437586,11.20654416,6.223149285,-5.203696114,19.41729927,26.39915324,11.73892481,0.304695108,5.096662096,131.9851373
1,81,2,5.95,18794,0.003820446,14.14674939,9.666411678,8.085193373,-6.050664781,32.2599653,21.057851,3.622610224,0.622371087,4.462185069,238.3296125
1,81,2,5.97,18794,0.004005377,9.866280161,11.04954806,4.824639285,-5.751714369,22.59460823,22.86808215,4.541427943,0.496454381,4.676208269,208.4848101
1,81,2,5.97,18794,0.003373456,11.9008952,12.91503822,4.687572967,-8.089713662,12.41462724,26.30836147,13.96572655,0.639816821,3.576208393,229.7621987
1,81,2,5.93,18792,0.00373821,10.42678603,17.2126009,10.27658058,-10.55728143,39.45657586,28.0394329,8.312740268,0.635306396,5.172136016,223.5085166
1,81,2,6.05,18792,0.004724531,7.905387269,1.915398174,11.97658254,-8.343938005,50.95551553,33.11617462,19.96747471,0.680582578,4.552763434,294.7005988
1,81,2,5.95,18792,0.002927389,5.817940999,0.676234139,19.78205027,-9.204367436,54.83834856,23.86660942,6.390964996,0.269028066,6.258485126,290.0193714
1,81,2,5.94,19329,0.00311773,2.454064815,16.44911744,11.43295092,-9.311857403,39.13058187,33.21567473,60.46870631,0.143140454,2.760697667,170.6182897
1,81,2,5.92,19329,0.003200083,0.552164079,10.9153971,12.56294259,-10.7246188,35.65445696,38.3045593,65.86505014,0.410621893,3.060831883,245.6746864
1,81,2,5.97,19329,0.003580016,-0.159669748,11.12157984,13.20966328,-9.013560828,26.90492117,30.42005317,57.3465738,0.624562044,3.563380558,237.5433791
1,81,2,5.97,19329,0.00321406,-3.643732759,11.45779649,12.07626899,-15.00096249,34.52075718,28.94847057,71.57899654,0.749355962,3.311724861,216.4815171
1,65,2,5.93,18826,0.002925972,4.001438979,27.16713574,2.503901266,-7.590571993,5.796752463,28.30055619,12.31054235,0.337477103,4.965008048,93.35945562
1,65,2,6.01,18826,0.003715612,-0.148248793,15.0815955,4.972426608,-3.714175435,10.03989268,26.41561104,21.8422041,0.204090229,5.513249205,90.49460483
1,65,2,5.79,18826,0.003292312,0.967627498,17.6840223,5.407686294,-5.05848264,12.32099199,26.95208014,17.14586935,0.358325132,6.010078828,107.1023757
1,65,2,5.95,18827,0.00369776,4.907831026,21.64355878,3.491676578,-2.001412588,16.13784017,30.3402572,13.27665649,0.313296141,5.413138223,101.7829186
1,65,2,5.93,18827,0.003573251,6.023691404,19.49865947,3.210272415,0.329651753,5.984323725,31.40244284,7.230170777,0.434151149,4.903751359,108.2396701
1,65,2,5.49,18827,0.004101186,3.157971035,17.26106635,7.317756647,-3.021260648,14.35118173,31.61460085,13.7298598,0.492555603,5.574838094,117.0775826
1,65,2,5.97,18838,0.00236762,-0.450464081,25.32551871,9.844853917,-7.710944944,33.4813492,17.91412998,59.65542038,0.606360225,5.440345501,165.303802
1,65,2,5.97,18838,0.002484354,-0.359393421,27.1688898,4.378480951,-7.103862019,10.60734508,22.87091607,68.09962912,0.233882769,5.557828162,165.7368574
1,65,2,5.69,18819,0.00241625,9.800900081,10.77470431,16.5366756,-8.680147371,32.55502735,24.61858008,30.2516283,0.122323024,4.872839108,98.11917263
1,65,2,5.49,19208,0.002392473,15.27101819,16.44768092,6.321130345,-2.006590041,17.76546141,29.48163688,36.09899098,0.561247431,5.966841916,141.3960549
1,65,2,5.93,19208,0.002298106,10.21956099,23.93139533,10.01427109,-4.353298593,19.16660673,20.18268751,27.8156383,0.559601843,4.896170512,209.8873616
1,65,2,6.01,19208,0.002178707,12.98153888,26.33974359,5.682019345,-3.685666934,10.18249705,21.60564767,23.70562083,0.350470059,6.313455338,231.9478028
1,65,2,6.07,19208,0.001866198,14.5667232,20.3843503,7.086868898,-4.309962805,17.9187853,21.55395431,19.7760416,0.49608164,4.77821858,249.2578919
1,65,2,6.01,19480,0.00222381,20.51234197,20.07416914,6.687578773,1.542747042,17.50586503,19.81093398,25.41402442,0.426160928,5.395960384,221.153265
1,65,2,5.97,19480,0.001471553,16.45194677,14.29365433,10.80414271,0.852053228,51.35158579,18.05617774,41.63688761,0.066909827,6.086455828,195.2181059
1,65,2,5.65,19480,0.002154421,14.59869662,15.94145437,6.321755035,1.645355245,20.85287573,15.76962742,19.29910543,0.674816399,5.919836206,154.4877528
1,65,2,5.81,19481,0.00206045,10.13772472,7.897254277,7.19422811,-0.819717696,23.70957313,23.04526832,13.16950761,0.104365457,5.377367508,209.9244006
1,65,2,6.35,19481,0.002011227,9.591954677,15.12668669,5.077241258,1.263051509,14.0552094,19.45881977,13.1074738,0.156213825,4.903929091,260.2227529
1,65,2,5.93,19481,0.002478868,12.98177738,12.08419174,6.269945785,-3.426301389,43.43530503,33.50921614,39.78873907,0.588172241,5.254022213,221.1097969
1,65,2,5.97,19481,0.002168877,12.44446591,17.20522001,7.624819352,-0.607387578,29.47600737,24.74436335,20.94295184,0.14782184,6.307028283,239.3253795
1,65,2,4.51,19652,0.002442526,23.54410897,21.10177807,16.0835592,-3.159772031,35.20414007,25.60850749,51.31294216,0.136882778,6.99211584,94.03790514
1,65,2,5.95,19653,0.0036545,5.580715693,16.33215894,8.674516899,-2.051333752,26.04507796,23.22091989,19.89694454,0.468132245,5.597920641,207.9884573
1,65,2,5.97,19653,0.003837269,0.984849174,15.29581664,4.880406062,-2.393915165,14.5404254,28.04179531,10.95410891,0.442840336,4.130101931,116.5616544
1,65,2,6.01,19653,0.004399331,-2.030565135,10.03301946,5.831256194,-2.789204959,21.17595129,19.14902792,8.00252943,0.759082287,4.007809546,167.2895027
1,65,2,5.55,19653,0.00485172,-1.71962429,11.68434397,5.754964457,-3.364559313,19.25715459,14.27946395,19.58441358,0.650099296,3.653419568,125.8232437
0,78,1,5.49,14655,0.002453453,0.757778333,3.712503889,21.04833064,-18.85441013,46.927997,37.54811103,30.78692859,0.664641937,5.431269948,352.9926358
0,78,1,5.83,14655,0.003251645,2.284799183,12.8853426,12.57691141,-14.99274443,25.74138116,37.94085843,39.52331309,0.651402968,5.077265003,360.9410515
0,78,1,5.61,14655,0.00260351,-1.3010459,9.525355253,16.68120822,-15.89135184,30.66163103,35.04887389,42.36300006,0.557013219,5.620971727,329.359263
0,78,1,5.97,14655,0.003323743,0.694929372,5.823215806,15.51659096,-16.66397045,31.05068314,33.19296431,40.41477068,0.738918818,5.733616775,321.5658779
0,78,1,5.63,14760,0.003471223,9.703715297,19.90084963,14.92424068,-11.19092863,28.93925997,31.64005169,36.82011963,0.497489701,3.853405716,148.3267364
0,78,1,5.67,14760,0.002375449,15.09435891,1.711367652,23.96159591,-6.760844193,37.19018417,31.06482911,35.3551324,0.834971144,5.113509871,230.6302666
0,78,1,5.55,15123,0.002568427,13.95642129,17.12250895,14.2457996,-11.69221361,20.32592834,18.74166821,34.86343393,0.233854396,4.92459474,298.774704
0,78,1,5.09,15124,0.001875565,13.36824789,17.97718221,15.95546531,-14.17874764,24.77737918,13.54325484,42.12705883,0.155391184,4.483536454,218.3557345
0,78,1,5.17,16021,0.003173972,1.060885879,0.74071206,20.64597744,-18.15338423,34.39434911,15.81397739,29.87899496,0.593792822,4.726909564,220.2520763
0,78,1,5.73,16300,0.002867191,8.413444878,-0.135772755,17.55410433,-10.79073441,31.34727278,12.77621535,35.62689108,0.552505453,4.97275796,314.5398401
0,78,1,5.73,16300,0.002501064,3.742798939,-2.091387339,12.98902285,-10.16211722,29.59302881,17.19265534,35.12334567,0.540758029,5.148362379,167.3355172
0,78,1,5.69,16363,0.002584932,10.84561929,-8.460212506,23.68808419,-9.197325196,53.96514965,5.041609196,26.48796137,0.318538073,4.42709284,308.0114725
0,78,1,5.51,16364,0.002368006,9.010296192,6.744058083,15.36221324,-9.880480999,30.81773115,9.484383339,34.07974017,0.339183148,6.013511618,199.8760698
0,78,1,5.97,16364,0.002791377,7.951449521,-8.19657684,18.08767741,-11.76922801,30.75834234,11.33730676,32.66062601,0.08957081,6.168218239,316.9731475
0,78,1,5.51,16511,0.002466023,6.004561936,21.03410925,12.14207316,-6.575584154,27.90501044,15.4425849,38.44289746,0.151388705,6.123940084,322.821225
0,78,1,5.53,16817,0.00303286,7.779773296,7.424825426,19.08659405,-10.2420568,30.64227692,7.027817813,39.38214092,0.396613038,5.895224534,211.5051996
0,78,1,5.59,17157,0.002882159,5.45404156,8.953182195,11.55227864,-13.48130788,16.12828128,3.097523911,35.47284967,0.834093773,5.903002539,226.3723153
0,78,1,5.97,17159,0.003077647,9.261753572,5.600237588,13.95233219,-10.22400251,32.6615648,16.20479151,40.812241,0.640370825,5.209398984,125.819541
0,78,1,5.85,17159,0.002976824,9.643607427,12.53297314,12.21915336,-9.439695904,20.32227399,5.729555128,44.15816709,0.591967979,5.020143149,193.5187594
1,78,1,5.69,14653,0.002822613,1.175808812,3.123283658,22.95881105,-19.62331483,37.35032979,27.82967505,39.23919447,0.712688596,5.253268042,356.1801552
1,78,1,5.81,14653,0.003013254,-0.572965154,5.710039634,15.85928244,-18.29579129,24.11470772,35.88152785,40.52223268,0.742573767,3.662422056,287.2757279
1,78,1,5.71,15648,0.002817658,4.986377529,20.79579758,14.58425213,-10.00699313,22.81090593,28.78284721,58.14338033,0.690968985,4.763493643,287.0906423
1,78,1,5.89,15648,0.002457042,4.892387152,16.55627792,11.70348376,-8.144836178,31.26628712,40.84501812,58.2159161,0.638211881,4.241081693,155.7022788
1,78,1,5.45,15780,0.001914981,10.23719401,3.351512054,23.39117859,-13.83695479,38.19691269,26.69039649,56.82812754,0.45936858,4.600602157,178.9807092
1,78,1,5.65,15780,0.002029104,-0.905228055,3.205914856,13.90355795,-16.82255472,21.76728718,31.88184678,43.42330069,0.736081741,6.276843438,200.5869145
1,78,1,5.61,16137,0.002232948,13.83102157,-1.811651419,24.62092176,-12.04904807,54.50372381,10.23251885,40.35624376,0.796485887,5.032389476,300.8592629
1,78,1,5.97,16137,0.002150018,15.6854635,8.017305857,21.04176774,-12.20593962,45.66306215,4.208463631,36.16140903,0.688934226,4.694527517,278.673194
0,54,1,5.95,17860,0.002685706,11.45344177,9.278299271,6.580480947,-8.276886784,12.63854101,35.59925558,60.92437433,0.567049327,4.158358268,251.6080033
0,54,1,5.93,17860,0.003576425,12.90500824,13.80251631,6.056025163,-9.641860615,11.67933908,31.67717295,91.61946536,0.651190846,4.675248663,240.0608554
0,54,1,5.97,17860,0.004067654,13.12354155,18.06843604,5.905343148,-8.283339793,9.372214777,35.92465022,78.94006737,0.543414012,4.560813151,299.9618364
0,54,1,5.69,17862,0.003595627,5.412832685,15.03348192,4.793581398,-5.788737837,9.307631571,34.94584661,54.0549564,0.428949893,5.839872645,238.8570184
0,54,1,6.01,17862,0.003847687,7.925497537,21.48115036,2.994358799,-3.808061014,5.395493127,35.81565024,91.76687511,0.432633112,3.681119501,213.0820059
0,54,1,5.87,17862,0.003749815,9.434449539,24.80955889,3.468293688,-1.219408292,7.061066065,35.78801882,83.79183733,0.51270068,4.005997976,294.4041604
0,54,1,5.97,17862,0.003876373,7.86061884,19.14987906,3.609281781,-2.927193607,6.462718185,36.67770653,80.93326527,0.610687631,4.616855199,308.1517652
0,54,1,5.63,17909,0.003929494,12.7418915,14.22098888,10.22687017,-8.471243613,23.94075308,30.06035279,42.48965325,0.329207307,3.377481326,242.4641052
0,54,1,5.97,17909,0.004372689,9.007241793,11.70237098,10.44572696,-5.349369661,26.56527603,28.71335827,74.36478905,0.433936498,3.577844314,260.110364
0,54,1,5.95,17909,0.004033486,15.0568298,16.71802212,7.438680256,-5.19440301,33.42048599,29.21446208,96.70387064,0.326049025,4.007709899,217.9867532
0,54,1,5.97,17909,0.004332395,7.473406704,18.22886589,7.342359916,-6.43495913,44.85117385,37.46130763,70.58024936,0.191938198,4.384395624,221.3262961
0,54,1,4.89,17949,0.002687826,10.57061385,22.18249674,16.65019677,-14.26346649,58.94658107,26.8479418,52.33424352,0.261471342,3.630382023,184.4383864
0,54,1,5.69,17949,0.002168238,8.22599585,17.50777139,10.58049046,-13.31307818,44.04836716,29.89688693,29.50575962,0.394545593,4.272204536,166.7752389
0,54,1,5.07,17949,0.002648421,6.284255721,14.54489101,10.19748223,-8.880987036,50.70846735,25.73300928,42.22051205,0.309077717,3.318746437,319.1311261
0,54,1,5.97,17949,0.002324019,5.676088225,12.28581076,9.20423442,-8.908276687,21.15805713,28.09522669,19.81434913,0.53728418,3.339645076,173.9748672
0,54,1,5.97,17977,0.00213984,10.87461005,22.63816867,11.60325604,-3.194787913,17.88023297,35.58601189,79.86394337,0.36046463,4.473457835,81.95042312
0,54,1,5.93,17977,0.002987869,12.31060417,14.97542601,8.037124349,-2.044808799,12.36679263,30.69665993,53.19323552,0.286005705,4.24257712,81.19559226
0,54,1,5.93,17977,0.003705161,10.10121949,12.56357524,7.964578541,-2.815467161,12.16083695,32.00318607,42.24322782,0.310850717,5.169594539,85.03817773
0,54,1,5.79,18046,0.003865694,8.03740655,12.2134969,8.971144158,-6.171889226,19.17255959,36.87060177,70.84613156,0.398188253,5.396919752,144.8174131
0,54,1,5.97,18046,0.003393053,6.194612973,16.63077131,8.289253757,-2.830178745,18.51486784,37.38640397,111.2211017,0.496201265,4.101372005,229.0717267
0,54,1,6.01,18046,0.003208163,11.21975625,17.37886984,9.176816849,-4.815344982,13.63456271,35.02422709,106.7809549,0.391376788,5.154279141,119.3238449
0,54,1,5.99,18046,0.003968365,7.795163122,20.9631408,6.545668256,-3.782813174,11.2293764,31.85937224,102.7242283,0.369021204,5.324870402,176.1055815
0,54,1,5.71,18072,0.003810084,7.392126441,19.10313986,7.093391085,-6.908095915,14.60833827,28.07720111,92.35783206,0.636612557,5.114701374,172.3902658
0,54,1,4.73,18072,0.003190394,5.042307996,21.40713318,5.660883118,-6.845005581,14.38523341,37.53866708,97.2336045,0.18755646,4.758760174,257.1165186
0,54,1,4.51,18072,0.004017795,5.998346664,16.08044921,5.711105068,-7.615551152,14.66571684,37.49008014,94.01909234,0.266124167,5.522884477,308.805791
0,54,1,4.13,18072,0.003434959,5.27123188,16.34803864,5.506023996,-8.257957424,13.58014347,32.76064308,85.66559881,0.083605762,5.94496247,277.3441867
0,54,1,5.31,18224,0.00295776,12.70551186,22.13850333,3.006679131,-6.106112619,19.70759608,36.53557651,19.61401276,0.130646021,5.807144915,342.6786762
0,54,1,4.55,18224,0.002231293,10.23647317,13.73854897,4.257461241,-9.882147099,11.11053189,43.93261981,16.46031801,0.397758765,5.421462806,227.4288562
0,54,1,4.91,18224,0.003733966,2.480290171,12.6875147,2.618004891,-10.66712271,7.346318689,43.74403333,29.81606816,0.292900353,5.951012233,119.0677567
0,54,1,5.67,18224,0.003058469,5.03460828,22.87463092,4.856572989,-10.91717776,12.50433576,44.38589426,28.6199629,0.341736772,3.155645165,250.6448651
1,54,1,5.95,14821,0.003591009,14.07466263,8.726235362,20.80952482,-15.76787671,50.49481906,32.99946161,20.98527771,0.532862093,5.489478911,86.81840561
1,54,1,5.93,14821,0.003488277,13.4210273,14.57804241,16.21571396,-12.53961332,34.78198297,36.33425686,38.5935419,0.562277831,5.900703716,105.4954805
1,54,1,5.55,14821,0.003224123,12.33638674,17.79205614,13.58617763,-13.74547767,23.29123706,33.88342923,37.67077932,0.483233015,5.930392688,101.8620705
1,54,1,6.01,14821,0.003060645,10.50940597,13.5931183,8.422184063,-11.06200818,19.86945781,35.35516883,46.85929869,0.729134068,4.941440801,176.5013975
1,54,1,5.97,14822,0.003476628,9.41967358,13.84778582,7.492931705,-7.341419215,21.78613062,40.04246994,101.6634709,0.588933921,4.401192619,214.7980326
1,54,1,5.85,14822,0.002820125,6.514479759,13.18215464,8.593338137,-10.66056523,18.45383947,39.54128803,102.9434307,0.528389058,5.429082971,115.3895483
1,54,1,6.01,14822,0.003005011,8.749012978,18.54357254,5.344209847,-7.307319751,13.06065426,44.13951325,119.9904591,0.335761472,5.19663918,109.1078937
1,54,1,5.97,14822,0.002381465,8.299152534,17.83927974,7.102657938,-8.267805699,16.84468143,42.95746653,64.51153206,0.406823607,4.775497749,99.06915871
1,54,1,5.51,14873,0.002092536,15.00379373,7.724720869,30.1102021,-20.22610657,46.19956419,24.7034535,22.29350945,0.453363352,4.621196515,118.6233869
1,54,1,5.93,14873,0.003631497,8.890193578,7.550133386,13.91724443,-14.37427719,33.01686878,36.69585612,34.47393466,0.675592224,4.04140821,94.72438569
1,54,1,5.69,14873,0.003719435,9.363131599,17.03315929,17.20529714,-14.96881075,28.17594974,38.19799147,43.13210877,0.620003777,5.756723801,98.31548612
1,54,1,6.01,14873,0.002818383,11.27484377,16.67361116,12.32855565,-13.44176812,28.22795459,44.32029409,51.31642379,0.615257622,4.331353586,85.53426171
1,54,1,5.97,14779,0.002652826,-0.922084272,16.13630974,7.014501828,-4.835349312,10.15583709,44.34759943,80.20666029,0.458836557,3.60381733,97.71039639
1,54,1,5.69,14779,0.004131257,2.053229399,17.30205192,4.384599989,-4.493215679,10.21905725,49.10212098,97.8036572,0.497020823,4.145263344,184.8304483
1,54,1,5.97,14779,0.004173839,-0.398509463,13.3904348,2.907375021,-3.944823526,8.368788275,48.98426692,85.35198329,0.519853724,4.770992543,277.417724
1,54,1,5.59,14897,0.003096073,7.011944231,14.36355217,10.16618292,-9.996520639,14.68349978,32.89357598,71.56829665,0.316334651,5.659119063,173.8543579
1,54,1,5.59,14897,0.002798642,5.448544139,9.443368586,12.28210532,-10.15419516,19.31789687,30.62587498,61.90053882,0.189338231,4.508652772,115.6655469
1,54,1,5.97,14897,0.003134173,4.768322014,4.358249988,18.06289685,-12.19466355,38.41035144,33.27164831,65.64998954,0.138617257,5.513310128,90.31269027
1,54,1,4.53,14898,0.002722618,3.519241401,10.74246122,11.99802005,-9.109990513,27.72794378,29.08339263,85.07051817,0.59740681,6.021643392,130.6899049
1,54,1,5.95,14898,0.003686423,9.298036374,21.8136004,9.586941363,-6.776793821,13.70870286,30.91571987,98.06190837,0.487958465,5.927167026,186.14106
1,54,1,5.81,14898,0.003201447,5.04267343,17.76618342,13.07408988,-9.939504182,21.43199755,21.43598804,101.8491013,0.636231283,5.239849927,260.8122037
1,54,1,5.99,14898,0.002882932,2.0656943,16.09863614,12.11124562,-10.28265695,17.82650749,26.89953084,127.1913624,0.70724341,4.585496873,186.1503366
1,54,1,5.97,14904,0.002993361,4.574708299,-0.808766654,10.71177057,-8.362822625,27.57517639,35.14967152,52.06129161,0.59443137,5.367959445,290.3987029
1,54,1,5.97,14904,0.003518423,10.8406122,7.935080305,12.71140819,-9.168451503,26.08894839,33.74163399,52.3958052,0.531491256,5.241037403,179.0745935
1,54,1,5.91,14904,0.003902131,5.038488906,6.252931528,12.38079669,-7.785935517,42.55701606,34.8166531,77.60121565,0.620863796,5.776464401,191.6261006
1,54,1,5.95,14904,0.003620653,4.365305483,9.149435455,10.70480314,-9.773761198,23.47637782,35.08648558,61.74275509,0.697680563,5.091430919,265.7894145
1,54,1,6.01,14909,0.002712292,7.865327298,9.244698268,14.15814619,-12.85856761,26.98635321,30.2592148,52.95066135,0.575882428,6.237331392,242.184976
1,54,1,5.87,14909,0.002687404,9.454194461,5.683931751,26.32425595,-14.43310484,58.75065546,33.56159932,47.08260433,0.408830773,6.672935508,110.7651244
1,54,1,5.31,14909,0.002366917,6.286606668,8.511516567,16.81641122,-13.47168475,52.90560308,34.25459239,64.30729815,0.345037086,5.994103507,107.6862256
1,54,1,5.97,14909,0.003048727,2.046504871,11.09115692,13.47843602,-11.7161581,29.17515282,37.97055493,46.54787299,0.308154394,6.396477272,101.3280643
